Name;URL;Pattern;Difficulty;Premium;Companies
Counting Bits;https://leetcode.com/problems/counting-bits/;Dynamic Programming,Dynamic Programming,Bit Manipulation,Bit Manipulation;Easy;false;Google,Google
Missing Number;https://leetcode.com/problems/missing-number/;Arrays,Arrays,Bit Manipulation,Bit Manipulation;Easy;false;Microsoft,Facebook,Amazon,Google,Adobe,Adobe
Find All Numbers Disappeared in an Array;https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/;Arrays,Arrays;Easy;false;Facebook,Amazon,Amazon
Single Number;https://leetcode.com/problems/single-number/;Arrays,Arrays,Bit Manipulation,Bit Manipulation;Easy;false;Amazon,Microsoft,Adobe,Adobe
Invert Binary Tree;https://leetcode.com/problems/invert-binary-tree/;DFS,DFS;Easy;false;Amazon,Google,Facebook,Adobe,Apple,Apple
Subtree of Another Tree;https://leetcode.com/problems/subtree-of-another-tree/;DFS,DFS;Easy;false;Facebook,Amazon,Microsoft,Microsoft
Lowest Common Ancestor of a Binary Search Tree;https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/;DFS,DFS;Easy;false;LinkedIn,Facebook,Microsoft,Google,Uber,Uber
Merge Two Binary Trees;https://leetcode.com/problems/merge-two-binary-trees/;DFS,DFS;Easy;false;Amazon,Adobe,Adobe
Diameter of Binary Tree;https://leetcode.com/problems/diameter-of-binary-tree/;DFS,DFS;Easy;false;Facebook,Amazon,Google,Bloomberg,Apple,Microsoft,Adobe,Adobe
Maximum Depth of Binary Tree;https://leetcode.com/problems/maximum-depth-of-binary-tree/;DFS,DFS;Easy;false;LinkedIn,Google,Apple,Amazon,Amazon
Path Sum;https://leetcode.com/problems/path-sum/;DFS,DFS;Easy;false;Amazon,Facebook,Oracle,Oracle
Majority Element;https://leetcode.com/problems/majority-element/;Sorting,Sorting;Easy;false;Amazon,Facebook,Apple,Microsoft,Adobe,Adobe
Same Tree;https://leetcode.com/problems/same-tree/;DFS,DFS;Easy;false;LinkedIn,Google,Microsoft,Amazon,Facebook,Apple,Adobe,Oracle,Oracle
Minimum Depth of Binary Tree;https://leetcode.com/problems/minimum-depth-of-binary-tree/;BFS,BFS,DFS,DFS;Easy;false;Facebook,Goldman Sachs,Goldman Sachs
Average of Levels in Binary Tree;https://leetcode.com/problems/average-of-levels-in-binary-tree/;BFS,BFS;Easy;false;Facebook,Amazon,Amazon
Convert 1D Array Into 2D Array;https://leetcode.com/problems/convert-1d-array-into-2d-array/;Arrays,Arrays;Easy;false;Google,Google
